mRNA_name
ENST00000548312.5
ENST00000338863.11
ENST00000570899.1
ENST00000556831.5
ENST00000625998.2
ENST00000383738.6
ENST00000012134.6
ENST00000403263.5
ENST00000627368.2
ENST00000614486.4
ENST00000583774.5
ENST00000371059.7
ENST00000620128.4
ENST00000583951.1
ENST00000377733.3
ENST00000449352.6
ENST00000233092.10
ENST00000533241.1
ENST00000623597.3
ENST00000326857.9
ENST00000486593.5
ENST00000485122.6
ENST00000511336.5
ENST00000320152.10
ENST00000593276.2
ENST00000633730.1
ENST00000366544.5
ENST00000309383.5
ENST00000346219.7
ENST00000614681.1
ENST00000456584.5
ENST00000545493.1
ENST00000541547.5
ENST00000261037.7
ENST00000456900.1
ENST00000566625.2
ENST00000540112.1
ENST00000240306.4
ENST00000361710.6
ENST00000592454.1
ENST00000543697.5
ENST00000564831.5
ENST00000598475.1
ENST00000299957.10
ENST00000549119.1
ENST00000588267.5
ENST00000295962.8
ENST00000351072.5
ENST00000508493.1
ENST00000542455.2
ENST00000572954.1
ENST00000614488.4
ENST00000457358.6
ENST00000370458.5
ENST00000612473.1
ENST00000417753.5
ENST00000463855.1
ENST00000540012.5
ENST00000585333.1
ENST00000555434.1
ENST00000586195.5
ENST00000375840.8
ENST00000523483.5
ENST00000566710.1
ENST00000527022.1
ENST00000311189.7
ENST00000233809.8
ENST00000367184.2
ENST00000542989.5
ENST00000338947.9
ENST00000593635.1
ENST00000357884.8
ENST00000507249.5
ENST00000353704.2
ENST00000512684.1
ENST00000372990.5
ENST00000484814.1
ENST00000624502.3
ENST00000438526.2
ENST00000263897.9
ENST00000405256.5
ENST00000414138.6
ENST00000528736.1
ENST00000537075.2
ENST00000380715.5
ENST00000353487.6
ENST00000561441.5
ENST00000328736.7
ENST00000523829.5
ENST00000558319.5
ENST00000413543.6
ENST00000510819.5
ENST00000372263.3
ENST00000437269.1
ENST00000409466.6
ENST00000430669.6
ENST00000497160.5
ENST00000515311.5
ENST00000568898.5
ENST00000530285.5
ENST00000401473.7
ENST00000368630.7
ENST00000511529.1
ENST00000359005.8
ENST00000595838.5
ENST00000324472.8
ENST00000587862.5
ENST00000605587.1
ENST00000526202.5
ENST00000422920.1
ENST00000452775.1
ENST00000556915.5
ENST00000450898.1
ENST00000588743.2
ENST00000467752.5
ENST00000591519.1
ENST00000545361.5
ENST00000273009.10
ENST00000521562.5
ENST00000575958.5
ENST00000442012.5
ENST00000508113.1
ENST00000542983.1
ENST00000611702.4
ENST00000528852.5
ENST00000443011.5
ENST00000555761.5
ENST00000560985.5
ENST00000207870.7
